"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Множество невалидных email должны быть отклонены [1] user@.com","","Fri Feb 13 09:21:47 UTC 2026","passed","Fri Feb 13 09:21:47 UTC 2026","","unit.UserValidationTest","unit.UserValidationTest","shouldRejectVariousInvalidEmails"
"","1","Множество невалидных email должны быть отклонены [6] user@example.com.","","Fri Feb 13 09:21:47 UTC 2026","passed","Fri Feb 13 09:21:47 UTC 2026","","unit.UserValidationTest","unit.UserValidationTest","shouldRejectVariousInvalidEmails"
"","622","Успешный логин с валидными данными","","Fri Feb 13 09:21:14 UTC 2026","passed","Fri Feb 13 09:21:15 UTC 2026","","Тесты страницы логина","ui.tests.LoginTest","successfulLoginTest"
"","0","Множество валидных email должны проходить проверку [9] user@domain.co.jp","","Fri Feb 13 09:21:47 UTC 2026","passed","Fri Feb 13 09:21:47 UTC 2026","","unit.UserValidationTest","unit.UserValidationTest","shouldAcceptVariousValidEmails"
"","0","Валидный email должен проходить все проверки","","Fri Feb 13 09:21:47 UTC 2026","passed","Fri Feb 13 09:21:47 UTC 2026","","unit.UserValidationTest","unit.UserValidationTest","shouldReturnTrueWhenEmailIsValid"
"","259","Выбор опции по видимому тексту","","Fri Feb 13 09:21:16 UTC 2026","passed","Fri Feb 13 09:21:16 UTC 2026","","Тесты выпадающего списка","ui.tests.DropdownTest","selectByVisibleTextTest"
"","146","GET /posts - получить все посты","","Fri Feb 13 09:21:50 UTC 2026","passed","Fri Feb 13 09:21:50 UTC 2026","","JSONPlaceholder API тесты","api.JsonPlaceholderTest","shouldGetAllPosts"
"","222","Выбор опции по значению (value)","","Fri Feb 13 09:21:17 UTC 2026","passed","Fri Feb 13 09:21:17 UTC 2026","","Тесты выпадающего списка","ui.tests.DropdownTest","selectByValueTest"
"","152","GET /posts/1 - получить пост по ID","","Fri Feb 13 09:21:50 UTC 2026","passed","Fri Feb 13 09:21:50 UTC 2026","","JSONPlaceholder API тесты","api.JsonPlaceholderTest","shouldGetPostById"
"","1","Множество валидных email должны проходить проверку [7] user@test.travel","","Fri Feb 13 09:21:47 UTC 2026","passed","Fri Feb 13 09:21:47 UTC 2026","","unit.UserValidationTest","unit.UserValidationTest","shouldAcceptVariousValidEmails"
"","1","Множество невалидных email должны быть отклонены [9] user@-example.com","","Fri Feb 13 09:21:47 UTC 2026","passed","Fri Feb 13 09:21:47 UTC 2026","","unit.UserValidationTest","unit.UserValidationTest","shouldRejectVariousInvalidEmails"
